created_at,Actual,Forecasted
2024-11-12 21:21:20+00:00,3.28,9.332
2024-11-12 21:32:35+00:00,3.57,9.332
2024-11-12 21:43:51+00:00,3.74,9.332
2024-11-12 21:55:06+00:00,3.65,9.332
2024-11-12 22:06:21+00:00,3.76,9.332
2024-11-12 22:17:37+00:00,3.67,9.332
2024-11-12 22:28:52+00:00,3.62,9.332
2024-11-12 22:40:07+00:00,3.72,9.332
2024-11-12 23:00:57+00:00,4.91,9.332
2024-11-12 23:08:11+00:00,4.32,9.332
2024-11-12 23:28:31+00:00,5.51,9.332
2024-11-12 23:39:46+00:00,4.6,9.332
2024-11-12 23:51:02+00:00,5.71,9.332
2024-11-13 00:02:17+00:00,6.38,9.332
2024-11-13 00:13:32+00:00,6.72,9.332
2024-11-13 00:24:48+00:00,6.24,9.332
2024-11-13 00:36:03+00:00,6.14,9.332
2024-11-13 00:47:18+00:00,6.71,9.332
2024-11-13 01:13:44+00:00,6.53,9.332
2024-11-13 01:30:58+00:00,5.83,9.332
2024-11-13 01:42:13+00:00,4.39,9.332
2024-11-13 01:53:29+00:00,4.96,9.332
2024-11-13 02:04:44+00:00,5.21,9.332
2024-11-13 02:20:19+00:00,5.35,9.332
2024-11-13 02:40:30+00:00,6.41,9.332
2024-11-13 03:05:05+00:00,5.49,9.332
2024-11-13 03:16:21+00:00,5.56,9.332
2024-11-13 03:28:57+00:00,5.87,9.332
2024-11-13 03:40:13+00:00,5.949999999999999,9.332
2024-11-13 03:42:20+00:00,5.949999999999999,9.332
2024-11-13 03:53:35+00:00,5.71,9.332
2024-11-13 04:21:02+00:00,5.4,9.332
2024-11-13 04:55:16+00:00,5.97,9.332
2024-11-13 05:09:14+00:00,7.17,9.332
2024-11-13 05:20:29+00:00,5.75,9.332
2024-11-13 05:23:35+00:00,5.75,9.332
2024-11-13 05:39:27+00:00,6.72,9.332
2024-11-13 05:51:58+00:00,6.83,9.332
2024-11-13 06:07:21+00:00,6.71,9.332
2024-11-13 06:18:36+00:00,5.35,9.332
2024-11-13 06:35:49+00:00,6.21,9.332
2024-11-13 06:47:04+00:00,5.4,9.332
2024-11-13 07:00:15+00:00,5.93,9.332
2024-11-13 07:11:30+00:00,4.51,9.332
2024-11-13 07:22:45+00:00,5.715,9.332
2024-11-13 07:25:29+00:00,5.715,9.332
2024-11-13 07:36:44+00:00,4.51,9.332
2024-11-13 07:47:59+00:00,5.865,9.332
2024-11-13 07:50:16+00:00,5.865,9.332
2024-11-13 08:01:31+00:00,5.32,9.332
2024-11-13 08:12:46+00:00,5.42,9.332
2024-11-13 08:24:02+00:00,5.28,9.332
2024-11-13 08:35:17+00:00,5.08,9.332
2024-11-13 09:00:28+00:00,5.915,9.332
2024-11-13 09:02:53+00:00,5.915,9.332
2024-11-13 09:14:09+00:00,4.96,9.332
2024-11-13 09:25:24+00:00,4.48,9.332
2024-11-13 09:36:39+00:00,4.48,9.332
2024-11-13 09:47:55+00:00,4.67,9.332
2024-11-13 09:59:10+00:00,5.27,9.332
2024-11-13 10:14:18+00:00,35.59,9.332
2024-11-13 10:25:33+00:00,4.31,9.332
2024-11-13 10:36:48+00:00,5.2,9.332
